threshold,precision,recall,accuracy,predicted_positives,model
0.6599999999999999,0.6153846153846154,0.0035226772346983706,0.8867302602007691,13,xgboost_spw_1.00
0.6699999999999999,0.6153846153846154,0.0035226772346983706,0.8867302602007691,13,xgboost_spw_1.00
0.6799999999999999,0.6153846153846154,0.0035226772346983706,0.8867302602007691,13,xgboost_spw_1.00
0.69,0.5833333333333334,0.0030823425803610744,0.8866803176347201,12,xgboost_spw_1.00
0.7,0.5454545454545454,0.002642007926023778,0.886630375068671,11,xgboost_spw_1.00
0.71,0.6,0.002642007926023778,0.8866803176347201,10,xgboost_spw_1.00
0.72,0.4,0.0008806693086745927,0.8865304899365729,5,xgboost_spw_1.00
0.73,0.3333333333333333,0.00044033465433729633,0.8865304899365729,3,xgboost_spw_1.00
0.74,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7499999999999999,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7599999999999999,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7699999999999999,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7799999999999999,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7899999999999999,0.0,0.0,0.8865304899365729,1,xgboost_spw_1.00
0.7999999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8099999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.82,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.83,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.84,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8499999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8599999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8699999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8799999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8899999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.8999999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.9099999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.9199999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.9299999999999999,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.94,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.95,0.0,0.0,0.886580432502622,0,xgboost_spw_1.00
0.05,0.11361248686777728,1.0,0.1151176147430455,19989,xgboost_spw_3.91
0.06,0.11378446115288221,0.9995596653456627,0.11696548968686012,19950,xgboost_spw_3.91
0.07,0.11414055032949344,0.9991193306913254,0.12041152674424412,19879,xgboost_spw_3.91
0.08,0.11436950146627566,0.9960369881109643,0.12475652999051091,19778,xgboost_spw_3.91
0.09,0.11491094147582698,0.9942756494936151,0.13074963791639616,19650,xgboost_spw_3.91
0.09999999999999999,0.11564521096396674,0.9920739762219286,0.13864056335214503,19482,xgboost_spw_3.91
0.10999999999999999,0.11671073780266501,0.991193306913254,0.14817959346751236,19287,xgboost_spw_3.91
0.12,0.11756678738256443,0.9863496257155439,0.1587674174699096,19053,xgboost_spw_3.91
0.13,0.11859708970737168,0.9797446059004844,0.17185236977475904,18761,xgboost_spw_3.91
0.13999999999999999,0.12007596310363537,0.9744605900484368,0.18718473755181542,18430,xgboost_spw_3.91
0.14999999999999997,0.12207042097078752,0.9678555702333773,0.2068621085751386,18006,xgboost_spw_3.91
0.15999999999999998,0.12447185109055613,0.959929546455306,0.22963591869350247,17514,xgboost_spw_3.91
0.16999999999999998,0.12643407660175324,0.9462791721708499,0.2523597862458173,16997,xgboost_spw_3.91
0.18,0.12823952680041467,0.9260237780713342,0.27763072466663336,16399,xgboost_spw_3.91
0.19,0.13013785253572785,0.9062087186261559,0.30235229486091,15814,xgboost_spw_3.91
